transaction_id,claimant_id,claimant_name,payment_type,amount,payment_date,region,is_flagged,flag_reason,processed_by
TXN00001,C011,Karen Davis,Weekly Benefit,1338.76,2024-05-20,Vancouver,0,,EMP002
TXN00002,C011,Karen Davis,Medical Reimbursement,1281.0,2024-10-29,Surrey,1,Duplicate Payment,EMP009
TXN00003,C010,James Wilson,Weekly Benefit,2342.91,2024-11-28,Richmond,0,,EMP008
TXN00004,C010,James Wilson,Rehabilitation Allowance,2335.91,2024-03-22,Vancouver,0,,EMP003
TXN00005,C004,David Chen,Rehabilitation Allowance,1635.84,2024-02-17,Surrey,0,,EMP006
TXN00006,C010,James Wilson,Rehabilitation Allowance,1979.7,2024-08-23,Vancouver,0,,EMP007
TXN00007,C002,Bob Martinez,Medical Reimbursement,2160.74,2024-11-17,Abbotsford,0,,EMP010
TXN00008,C004,David Chen,Weekly Benefit,1301.38,2024-12-04,Vancouver,0,,EMP002
TXN00009,C014,Nathan Scott,Pension,1411.54,2024-07-13,Surrey,0,,EMP006
TXN00010,C003,Carol White,Rehabilitation Allowance,2274.39,2024-04-17,Kelowna,0,,EMP002
TXN00011,C010,James Wilson,Pension,1816.97,2024-03-24,Richmond,0,,EMP009
TXN00012,C004,David Chen,Rehabilitation Allowance,2607.97,2024-04-27,Vancouver,0,,EMP007
TXN00013,C005,Emma Singh,Weekly Benefit,2728.01,2024-10-17,Richmond,0,,EMP008
TXN00014,C007,Grace Kim,Short-Term Disability,1107.19,2024-05-15,Burnaby,0,,EMP009
TXN00015,C005,Emma Singh,Medical Reimbursement,1678.68,2024-10-25,Victoria,0,,EMP003
TXN00016,C009,Irene Brown,Short-Term Disability,2694.43,2024-01-25,Surrey,0,,EMP003
TXN00017,C013,Maria Garcia,Short-Term Disability,1639.56,2024-07-16,Surrey,0,,EMP009
TXN00018,C005,Emma Singh,Medical Reimbursement,2385.59,2024-12-14,Vancouver,0,,EMP009
TXN00019,C013,Maria Garcia,Rehabilitation Allowance,1445.7,2024-02-27,Kelowna,0,,EMP001
TXN00020,C012,Louis Tremblay,Rehabilitation Allowance,2807.78,2024-09-16,Burnaby,0,,EMP005
TXN00021,C014,Nathan Scott,Medical Reimbursement,1622.61,2024-03-19,Richmond,0,,EMP009
TXN00022,C015,Olivia Thompson,Weekly Benefit,842.85,2024-09-07,Kelowna,0,,EMP005
TXN00023,C004,David Chen,Weekly Benefit,2883.29,2024-10-17,Richmond,1,Inactive Claimant Status,EMP008
TXN00024,C014,Nathan Scott,Weekly Benefit,2251.45,2024-03-06,Burnaby,0,,EMP003
TXN00025,C005,Emma Singh,Medical Reimbursement,2843.61,2024-04-18,Victoria,0,,EMP004
TXN00026,C012,Louis Tremblay,Rehabilitation Allowance,2229.73,2024-12-09,Victoria,0,,EMP009
TXN00027,C008,Henry Patel,Weekly Benefit,2018.63,2024-04-25,Richmond,1,Duplicate Payment,EMP010
